Title,Authors
A Living Lab Study of Query Amendment in Job Search,Bahar Salehi (The University of Melbourne); Damiano Spina (RMIT University); Alistair Moffat (The University of Melbourne); Sargol Sadeghi (SEEK Ltd.); Falk Scholer (RMIT University); Timothy Baldwin (The University of Melbourne); Lawrence Cavedon (RMIT University); Mark Sanderson (RMIT University); Wilson Wong (RMIT University); Justin Zobel (The University of Melbourne)
Attention-driven Factor Model for Explainable Personalized Recommendation,"Jingwu Chen (Institute of Computing Technology, Chinese Academy of Sciences); Fuzhen Zhuang (Institute of Computing Technology, Chinese Academy of Sciences); Xin Hong (Institute of Computing Technology, Chinese Academy of Sciences); Xiang Ao (Institute of Computing Technology, Chinese Academy of Sciences); Xing Xie (Microsoft); Qing He (Institute of Computing Technology, Chinese Academy of Sciences)"
IRevalOO: An Object Oriented Framework for Retrieval Evaluation,Kevin Roitero (University of Udine); Eddy Maddalena (University of Southampton); Ponte Yannick (University of Udine); Stefano Mizzaro (University of Udine)
Translating Representations of Knowledge Graphs with Neighbors,Chun-Chih Wang (National Taiwan University); Pu-Jen Cheng (National Taiwan University)
Index Compression for BitFunnel Query Processing,Xinyu Liu (Nankai University); Zhaohua Zhang (Nankai University); Boran Hou (Nankai University); Rebecca Stones (Nankai University); Gang Wang (Nankai University); Xiaoguang Liu (Nankai University)
CA-LSTM: Search Task Identification with Context Attention based LSTM,Cong Du (Sogou inc.); Peng Shu (Sogou Inc.); Yong Li (Sogou Inc.)
On the Volatility of Commercial Search Engines and its Impact on Information Retrieval Research,Jimmy Jimmy (Queensland University of Technology); Guido Zuccon (Queensland University of Technology); Gianluca Demartini (The University of Queensland)
Large-Scale Image Retrieval with Elasticsearch,Giuseppe Amato (ISTI-CNR); Paolo Bolettieri (ISTI-CNR); Fabio Carrara (ISTI CNR); Fabrizio Falchi (ISTI-CNR); Claudio Gennaro (ISTI – CNR)
Deep Semantic Text Hashing with Weak Supervision,Suthee Chaidaroon (Santa Clara University); Travis Ebesu (Santa Clara University); Yi Fang (Santa Clara University)
Who is the Mr. Right for Your Brand? — Discovering Brand Key Assets via Multi-modal Asset-aware Projection,Yang Liu (Hong Kong Baptist University); Tobey H. Ko (The University of Hong Kong); Zhonglei Gu (Hong Kong Baptist University)
Sogou-QCL: A New Dataset with Click Relevance Label,Yukun Zheng (Tsinghua University); Zhen Fan (Tsinghua University); Yiqun Liu (Tsinghua University); Cheng Luo (Tsinghua University); Shaoping Ma (Tsinghua University)
A Co-Memory Network for Multimodal Sentiment Analysis,"Nan Xu (Institute of Automation, Chinese Academy of Sciences); Wenji Mao (Institute of Automation, Chinese Academy of Sciences); Guandan Chen (Institute of Automation, Chinese Academy of Sciences)"
Investigating User Perception of Gender Bias in Image Search: The Role of Sexism,Jahna Otterbacher (Open University of Cyprus); Alessandro Checco (The University of Sheffield); Gianluca Demartini (The University of Queensland); Paul Clough (The University of Sheffield)
Killing Two Birds With One Stone: Concurrent Ranking of Tags and Comments of Social Images,Boon-Siew Seah (Nanyang Technological University); Aixin Sun (Nanyang Technological University); Sourav S Bhowmick (Nanyang Technological University)
Imagination Based Sample Construction for Zero-Shot Learning,Gang Yang (Renmin university of China); Jinlu Liu (Renmin university of China); Xirong Li (Renmin University of China)
Towards Designing Better Session Search Evaluation Metrics,Mengyang Liu (Tsinghua University); Yiqun Liu (Tsinghua University); Jiaxin Mao (Tsinghua University); Cheng Luo (Tsinghua University); Shaoping Ma (Tsinghua University)
"Predicting Contradiction Intensity: Low, Strong or Very Strong?","Ismail Badache (FEG/LIS, Aix-Marseille Université); Sebastien Fournier (FEG/LIS, Aix-Marseille Université); Adrian-Gabriel Chifu (FEG/LIS, Aix-Marseille Université)"
A Large-Scale Study of Mobile Search Examination Behavior,Xiaochuan Wang (Tsinghua University); Ning Su (Tsinghua University); Zexue He (Beijing Normal University); Yiqun Liu (Tsinghua University); Shaoping Ma (Tsinghua University)
Ranking Without Learning: Towards Historical Relevance-based Ranking of Social Images,Min Min Chew (Nanyang Technological University); Sourav S Bhowmick (Nanyang Technological University); Adam Jatowt (Kyoto University)
Parameterizing Kterm Hashing,Dominik Wurzer (University of Wuhan); Yumeng Qin (University of Wuhan)
Technology Assisted Reviews: Finding the last few relevant documents by asking questions to the user,Jie Zou (University of Amsterdam); Dan Li (University of Amsterdam); Evangelos Kanoulas (University of Amsterdam)
An Information Retrieval Framework for Contextual Suggestion Based on Heterogeneous Information Network Embeddings,Dominic Seyler (University of Illinois at Urbana–Champaign); Praveen Chandar (Spotify); Matthew Davis (IBM)
Entire Space Multi-Task Model: An Effective Approach for Estimating Post-Click Conversion Rate,Xiao Ma (Alibaba Group); Liqin Zhao (Alibaba Group); Guan Huang (Alibaba Group); Zhi Wang (Alibaba Group); Zelin Hu (Alibaba Group); Xiaoqiang Zhu (Alibaba Group); Kun Gai (Alibaba Group)
